Key,Tranditional Chinese [zh-TC]
adventure_achievement_1_1_killbanditguards_1,收與送,,,,,,,,,,,,,,,
adventure_achievement_1_1_killbanditguards_1_desc,殺死10個強盜守衛,,,,,,,,,,,,,,,
adventure_achievement_1_1_killbanditguards_2,罪與罰,,,,,,,,,,,,,,,
adventure_achievement_1_1_killbanditguards_2_desc,殺死100個強盜守衛,,,,,,,,,,,,,,,
adventure_achievement_1_1_killbandits,鄰里守望,,,,,,,,,,,,,,,
adventure_achievement_1_1_killbandits_desc,殺死15個強盜,,,,,,,,,,,,,,,
adventure_achievement_1_1_killbonerangers_1,全軍突擊！,,,,,,,,,,,,,,,
adventure_achievement_1_1_killbonerangers_1_desc,殺死10個骷髏弓箭手,,,,,,,,,,,,,,,
adventure_achievement_1_1_killbonerangers_2,Klaatu Barada... Necktie,,,,,,,,,,,,,,,
adventure_achievement_1_1_killbonerangers_2_desc,殺死100個骷髏弓箭手,,,,,,,,,,,,,,,
adventure_achievement_1_1_killcultists_1,我以為他們只會出現在印斯茅斯,,,,,,,,,,,,,,,
adventure_achievement_1_1_killcultists_1_desc,殺死10個邪教徒,,,,,,,,,,,,,,,
adventure_achievement_1_1_killcultists_2,隱密教團,,,,,,,,,,,,,,,
adventure_achievement_1_1_killcultists_2_desc,殺死100個邪教徒,,,,,,,,,,,,,,,
adventure_achievement_1_1_killdifferentenemies,骨架收藏家,,,,,,,,,,,,,,,
adventure_achievement_1_1_killdifferentenemies_desc,殺死12種不同類型的敵人,,,,,,,,,,,,,,,
adventure_achievement_1_1_killhounds_1,狗狗那麼可愛...,,,,,,,,,,,,,,,
adventure_achievement_1_1_killhounds_1_desc,殺死10只獵犬,,,,,,,,,,,,,,,
adventure_achievement_1_1_killhounds_2,...吃起來一定很美味吧。,,,,,,,,,,,,,,,
adventure_achievement_1_1_killhounds_2_desc,殺死100只獵犬,,,,,,,,,,,,,,,
adventure_achievement_1_1_killlivingbones_1,骨腿子給你打斷！,,,,,,,,,,,,,,,
adventure_achievement_1_1_killlivingbones_1_desc,殺死10個骷髏兵,,,,,,,,,,,,,,,
adventure_achievement_1_1_killlivingbones_2,骨灰都給你揚咯！,,,,,,,,,,,,,,,
adventure_achievement_1_1_killlivingbones_2_desc,殺死100個骷髏兵,,,,,,,,,,,,,,,
adventure_achievement_1_1_killlivingcorpses_1,黎明殺機,,,,,,,,,,,,,,,
adventure_achievement_1_1_killlivingcorpses_1_desc,殺死10個行屍,,,,,,,,,,,,,,,
adventure_achievement_1_1_killlivingcorpses_2,消逝的光芒,,,,,,,,,,,,,,,
adventure_achievement_1_1_killlivingcorpses_2_desc,殺死100個行屍,,,,,,,,,,,,,,,
adventure_achievement_1_1_killlivingspirits_1,快去請鬼殺隊來！,,,,,,,,,,,,,,,
adventure_achievement_1_1_killlivingspirits_1_desc,殺死10個怨靈,,,,,,,,,,,,,,,
adventure_achievement_1_1_killlivingspirits_2,我一點都不怕鬼（迫真）！,,,,,,,,,,,,,,,
adventure_achievement_1_1_killlivingspirits_2_desc,殺死100個怨靈,,,,,,,,,,,,,,,
adventure_achievement_1_1_killmuddlepoison,索恩的門徒,,,,,,,,,,,,,,,
adventure_achievement_1_1_killmuddlepoison_desc,殺死50個混亂或中毒的敵人,,,,,,,,,,,,,,,
adventure_achievement_1_1_killsummonlivingbones,殺，殺，殺光他們！！,,,,,,,,,,,,,,,
adventure_achievement_1_1_killsummonlivingbones_desc,殺死30個被召喚出來的骷髏兵,,,,,,,,,,,,,,,
adventure_achievement_1_1_killvermlingscouts_1,我感覺有老鼠混進來了！,,,,,,,,,,,,,,,
adventure_achievement_1_1_killvermlingscouts_1_desc,殺死20個鼠人族偵察兵,,,,,,,,,,,,,,,
adventure_achievement_1_1_killvermlingscouts_2,你們這些骯髒的老鼠！,,,,,,,,,,,,,,,
adventure_achievement_1_1_killvermlingscouts_2_desc,殺死200個鼠人族偵察兵,,,,,,,,,,,,,,,
adventure_achievement_1_1_killvermlingshamans_1,捉鼠人,,,,,,,,,,,,,,,
adventure_achievement_1_1_killvermlingshamans_1_desc,殺死10個鼠人族薩滿,,,,,,,,,,,,,,,
adventure_achievement_1_1_killvermlingshamans_2,老鼠終結者,,,,,,,,,,,,,,,
adventure_achievement_1_1_killvermlingshamans_2_desc,殺死100個鼠人族薩滿,,,,,,,,,,,,,,,
adventure_achievement_1_1_mercskilledbyenemies,人命關天,,,,,,,,,,,,,,,
adventure_achievement_1_1_mercskilledbyenemies_desc,被敵人殺死的傭兵數量達到10個,,,,,,,,,,,,,,,
adventure_achievement_1_1_mindthiefreachlevel2,躥跳鼠,,,,,,,,,,,,,,,
adventure_achievement_1_1_mindthiefreachlevel2_desc,亂心賊達到2級,,,,,,,,,,,,,,,
adventure_achievement_1_1_nightshroudreachlevel2,刺客,,,,,,,,,,,,,,,
adventure_achievement_1_1_nightshroudreachlevel2_desc,朧夜客達到2級,,,,,,,,,,,,,,,
adventure_achievement_1_1_plagueheraldreachlevel2,班恩,,,,,,,,,,,,,,,
adventure_achievement_1_1_plagueheraldreachlevel2_desc,瘟疫使者達到2級,,,,,,,,,,,,,,,
adventure_achievement_1_1_quartermasterreachlevel2,武器匠,,,,,,,,,,,,,,,
adventure_achievement_1_1_quartermasterreachlevel2_desc,軍需官達到2級,,,,,,,,,,,,,,,
adventure_achievement_1_1_sawbonesreachlevel2,醫生,,,,,,,,,,,,,,,
adventure_achievement_1_1_sawbonesreachlevel2_desc,鋸骨者達到2級,,,,,,,,,,,,,,,
adventure_achievement_1_1_scoundrelreachlevel2,小偷,,,,,,,,,,,,,,,
adventure_achievement_1_1_scoundrelreachlevel2_desc,凶徒達到2級,,,,,,,,,,,,,,,
adventure_achievement_1_1_soothsingerreachlevel2,吟游詩人,,,,,,,,,,,,,,,
adventure_achievement_1_1_soothsingerreachlevel2_desc,暢歌者達到2級,,,,,,,,,,,,,,,
adventure_achievement_1_1_spellweaverreachlevel2,施法者,,,,,,,,,,,,,,,
adventure_achievement_1_1_spellweaverreachlevel2_desc,織魔師達到2級,,,,,,,,,,,,,,,
adventure_achievement_1_1_summonerreachlevel2,魔術師,,,,,,,,,,,,,,,
adventure_achievement_1_1_summonerreachlevel2_desc,召喚師達到2級,,,,,,,,,,,,,,,
adventure_achievement_1_1_sunkeeperreachlevel2,聖騎士,,,,,,,,,,,,,,,
adventure_achievement_1_1_sunkeeperreachlevel2_desc,執日者達到2級,,,,,,,,,,,,,,,
adventure_achievement_1_1_takedamage,膝蓋上中了一箭,,,,,,,,,,,,,,,
adventure_achievement_1_1_takedamage_desc,受到20點傷害,,,,,,,,,,,,,,,
adventure_achievement_1_1_takedamagenonattacks,痛？我還沒爽夠！,,,,,,,,,,,,,,,
adventure_achievement_1_1_takedamagenonattacks_desc,受到50點“攻擊”技能以外的傷害來源造成的傷害,,,,,,,,,,,,,,,
adventure_achievement_1_1_tinkererreachlevel2,發明家,,,,,,,,,,,,,,,
adventure_achievement_1_1_tinkererreachlevel2_desc,機匠達到2級,,,,,,,,,,,,,,,
adventure_achievement_1_1_unlocklocations,香料海岸,,,,,,,,,,,,,,,
adventure_achievement_1_1_unlocklocations_desc,解鎖9個地點,,,,,,,,,,,,,,,
adventure_achievement_1_1_useitems,看刀！,,,,,,,,,,,,,,,
adventure_achievement_1_1_useitems_desc,使用30次物品,,,,,,,,,,,,,,,
adventure_achievement_1_2_consumeair,大氣精通,,,,,,,,,,,,,,,
adventure_achievement_1_2_consumeair_desc,消耗15個氣元素,,,,,,,,,,,,,,,
adventure_achievement_1_2_consumeany,元素精通,,,,,,,,,,,,,,,
adventure_achievement_1_2_consumeany_desc,完成其他6種元素精通的成就,,,,,,,,,,,,,,,
adventure_achievement_1_2_consumedark,黑暗精通,,,,,,,,,,,,,,,
adventure_achievement_1_2_consumedark_desc,消耗15個暗元素,,,,,,,,,,,,,,,
adventure_achievement_1_2_consumeearth,大地精通,,,,,,,,,,,,,,,
adventure_achievement_1_2_consumeearth_desc,消耗15個土元素,,,,,,,,,,,,,,,
adventure_achievement_1_2_consumefire,烈焰精通,,,,,,,,,,,,,,,
adventure_achievement_1_2_consumefire_desc,消耗15個火元素,,,,,,,,,,,,,,,
adventure_achievement_1_2_consumeice,寒冰精通,,,,,,,,,,,,,,,
adventure_achievement_1_2_consumeice_desc,消耗15個冰元素,,,,,,,,,,,,,,,
adventure_achievement_1_2_consumelight,光耀精通,,,,,,,,,,,,,,,
adventure_achievement_1_2_consumelight_desc,消耗15個光元素,,,,,,,,,,,,,,,
adventure_achievement_1_2_damagepoison,黑寡婦,,,,,,,,,,,,,,,
adventure_achievement_1_2_damagepoison_desc,通過中毒狀態造成40點額外傷害,,,,,,,,,,,,,,,
adventure_achievement_1_2_dealrangeddamage,神射手,,,,,,,,,,,,,,,
adventure_achievement_1_2_dealrangeddamage_desc,使用遠端技能造成100點傷害,,,,,,,,,,,,,,,
adventure_achievement_1_2_inflictcurse,詛咒精通,,,,,,,,,,,,,,,
adventure_achievement_1_2_inflictcurse_desc,施加20次詛咒,,,,,,,,,,,,,,,
adventure_achievement_1_2_inflictdisarm,繳械精通,,,,,,,,,,,,,,,
adventure_achievement_1_2_inflictdisarm_desc,造成20次繳械,,,,,,,,,,,,,,,
adventure_achievement_1_2_inflictimmobilize,禁足精通,,,,,,,,,,,,,,,
adventure_achievement_1_2_inflictimmobilize_desc,造成20次禁足,,,,,,,,,,,,,,,
adventure_achievement_1_2_inflictmuddle,混亂精通,,,,,,,,,,,,,,,
adventure_achievement_1_2_inflictmuddle_desc,造成20次混亂,,,,,,,,,,,,,,,
adventure_achievement_1_2_inflictpoison,毒素精通,,,,,,,,,,,,,,,
adventure_achievement_1_2_inflictpoison_desc,造成20次中毒,,,,,,,,,,,,,,,
adventure_achievement_1_2_inflictwound,流血精通,,,,,,,,,,,,,,,
adventure_achievement_1_2_inflictwound_desc,造成20次流血,,,,,,,,,,,,,,,
adventure_achievement_1_2_killgiantvipers_1,蛇，為什麼非得是蛇？,,,,,,,,,,,,,,,
adventure_achievement_1_2_killgiantvipers_1_desc,殺死20條劇毒蝮蛇,,,,,,,,,,,,,,,
adventure_achievement_1_2_killgiantvipers_2,蛇……很危險……你先走。,,,,,,,,,,,,,,,
adventure_achievement_1_2_killgiantvipers_2_desc,殺死200條劇毒蝮蛇,,,,,,,,,,,,,,,
adventure_achievement_1_2_killinoxarchers_1,正中靶心！,,,,,,,,,,,,,,,
adventure_achievement_1_2_killinoxarchers_1_desc,殺死10個羚角族弓箭手,,,,,,,,,,,,,,,
adventure_achievement_1_2_killinoxarchers_2,一發入魂！,,,,,,,,,,,,,,,
adventure_achievement_1_2_killinoxarchers_2_desc,殺死100個羚牛族弓箭手,,,,,,,,,,,,,,,
adventure_achievement_1_2_killinoxguards_1,決鬥,,,,,,,,,,,,,,,
adventure_achievement_1_2_killinoxguards_1_desc,殺死10個羚角族守衛,,,,,,,,,,,,,,,
adventure_achievement_1_2_killinoxguards_2,角鬥,,,,,,,,,,,,,,,
adventure_achievement_1_2_killinoxguards_2_desc,殺死100個羚牛族守衛,,,,,,,,,,,,,,,
adventure_achievement_1_2_killinoxshamans_1,你們的醫生呢？,,,,,,,,,,,,,,,
adventure_achievement_1_2_killinoxshamans_1_desc,殺死10個羚牛組薩滿,,,,,,,,,,,,,,,
adventure_achievement_1_2_killinoxshamans_2,死掉的羚牛才是好羚牛,,,,,,,,,,,,,,,
adventure_achievement_1_2_killinoxshamans_2_desc,殺死100個羚牛族薩滿,,,,,,,,,,,,,,,
adventure_achievement_1_2_moveamount,移動精通,,,,,,,,,,,,,,,
adventure_achievement_1_2_moveamount_desc,移動300格,,,,,,,,,,,,,,,
adventure_achievement_1_2_pierceshield,唐家霸王槍！,,,,,,,,,,,,,,,
adventure_achievement_1_2_pierceshield_desc,穿透30點護盾,,,,,,,,,,,,,,,
adventure_achievement_1_2_reachdemonspinehollow,新的章節在召喚你,,,,,,,,,,,,,,,
adventure_achievement_1_2_reachdemonspinehollow_desc,到達下城區,,,,,,,,,,,,,,,
adventure_achievement_1_2_reachfordingbridge,魂斷藍橋,,,,,,,,,,,,,,,
adventure_achievement_1_2_reachfordingbridge_desc,到達灘橋地,,,,,,,,,,,,,,,
adventure_achievement_1_2_reachthesloshedsquirrel,去奇波特港的要道,,,,,,,,,,,,,,,
adventure_achievement_1_2_reachthesloshedsquirrel_desc,到達醉松鼠酒館,,,,,,,,,,,,,,,
adventure_achievement_1_2_unlocklocations,東部叢林,,,,,,,,,,,,,,,
adventure_achievement_1_2_unlocklocations_desc,解鎖11個地點,,,,,,,,,,,,,,,
adventure_achievement_1_2_usebless,祝福精通,,,,,,,,,,,,,,,
adventure_achievement_1_2_usebless_desc,使用20次祝福,,,,,,,,,,,,,,,
adventure_achievement_1_2_usestrengthen,強化精通,,,,,,,,,,,,,,,
adventure_achievement_1_2_usestrengthen_desc,使用20次強化,,,,,,,,,,,,,,,
adventure_achievement_1_3_disarmtrap,有陷阱！,,,,,,,,,,,,,,,
adventure_achievement_1_3_disarmtrap_desc,拆卸20個陷阱,,,,,,,,,,,,,,,
adventure_achievement_1_3_killforestimps_1,準備捉妖,,,,,,,,,,,,,,,
adventure_achievement_1_3_killforestimps_1_desc,擊殺20只森林小妖,,,,,,,,,,,,,,,
adventure_achievement_1_3_killforestimps_2,大威天龍,,,,,,,,,,,,,,,
adventure_achievement_1_3_killforestimps_2_desc,擊殺200只森林小妖,,,,,,,,,,,,,,,
adventure_achievement_1_3_unlocklocations,荒蕪之地,,,,,,,,,,,,,,,
adventure_achievement_1_3_unlocklocations_desc,到達隱居地,,,,,,,,,,,,,,,
adventure_achievement_1_4_killcavebears_1,老熊當道,,,,,,,,,,,,,,,
adventure_achievement_1_4_killcavebears_1_desc,殺死10只洞穴熊,,,,,,,,,,,,,,,
adventure_achievement_1_4_killcavebears_2,熊羆之士,,,,,,,,,,,,,,,
adventure_achievement_1_4_killcavebears_2_desc,殺死50只穴居熊,,,,,,,,,,,,,,,
adventure_achievement_1_4_killnightdemons_1,晝魘,,,,,,,,,,,,,,,
adventure_achievement_1_4_killnightdemons_1_desc,殺死10個暗夜惡魔,,,,,,,,,,,,,,,
adventure_achievement_1_4_killnightdemons_2,光明使者,,,,,,,,,,,,,,,
adventure_achievement_1_4_killnightdemons_2_desc,殺死75個暗夜惡魔,,,,,,,,,,,,,,,
adventure_achievement_1_4_killrendingdrakes_1,歐皇,,,,,,,,,,,,,,,
adventure_achievement_1_4_killrendingdrakes_1_desc,殺死10條扯地龍,,,,,,,,,,,,,,,
adventure_achievement_1_4_killrendingdrakes_2,風水輪流轉,,,,,,,,,,,,,,,
adventure_achievement_1_4_killrendingdrakes_2_desc,殺死75條扯地龍,,,,,,,,,,,,,,,
adventure_achievement_1_4_killspittingdrakes_1,無牙仔？,,,,,,,,,,,,,,,
adventure_achievement_1_4_killspittingdrakes_1_desc,殺死10條撕天龍,,,,,,,,,,,,,,,
adventure_achievement_1_4_killspittingdrakes_2,紅死病,,,,,,,,,,,,,,,
adventure_achievement_1_4_killspittingdrakes_2_desc,殺死75條撕天龍,,,,,,,,,,,,,,,
adventure_achievement_1_4_killsundemons_1,夜魘,,,,,,,,,,,,,,,
adventure_achievement_1_4_killsundemons_1_desc,殺死10個烈光惡魔,,,,,,,,,,,,,,,
adventure_achievement_1_4_killsundemons_2,暗夜使者,,,,,,,,,,,,,,,
adventure_achievement_1_4_killsundemons_2_desc,殺死75個烈光惡魔,,,,,,,,,,,,,,,
adventure_achievement_1_4_unlocklocations,鬼斧神工,,,,,,,,,,,,,,,
adventure_achievement_1_4_unlocklocations_desc,到達鷹山頂,,,,,,,,,,,,,,,
adventure_achievement_1_5_killnightdemonlight,拂曉至尊,,,,,,,,,,,,,,,
adventure_achievement_1_5_killnightdemonlight_desc,在有光元素充能的時候殺死20個暗夜惡魔,,,,,,,,,,,,,,,
adventure_achievement_1_5_killstonegolems_1,小錘40,,,,,,,,,,,,,,,
adventure_achievement_1_5_killstonegolems_1_desc,殺死10個岩石魔像,,,,,,,,,,,,,,,
adventure_achievement_1_5_killstonegolems_2,大錘80,,,,,,,,,,,,,,,
adventure_achievement_1_5_killstonegolems_2_desc,殺死50個岩石魔像,,,,,,,,,,,,,,,
adventure_achievement_1_5_killsundemondark,黃昏至尊,,,,,,,,,,,,,,,
adventure_achievement_1_5_killsundemondark_desc,在暗元素充能的時候殺死20個烈光惡魔,,,,,,,,,,,,,,,
adventure_achievement_1_5_trapkills,太君，這邊請,,,,,,,,,,,,,,,
adventure_achievement_1_5_trapkills_desc,用陷阱殺死20個敵人,,,,,,,,,,,,,,,
adventure_achievement_1_5_unlocklocations,往復旅途,,,,,,,,,,,,,,,
adventure_achievement_1_5_unlocklocations_desc,到達野尖塔,,,,,,,,,,,,,,,
adventure_achievement_2_1_healpoisonwound,我不會這樣輕易地狗帶！,,,,,,,,,,,,,,,
adventure_achievement_2_1_healpoisonwound_desc,治療40次中毒或流血,,,,,,,,,,,,,,,
adventure_achievement_2_1_infuseelements,元素基礎,,,,,,,,,,,,,,,
adventure_achievement_2_1_infuseelements_desc,充能100個元素,,,,,,,,,,,,,,,
adventure_achievement_2_1_killearthdemons_1,麻煩礦工,,,,,,,,,,,,,,,
adventure_achievement_2_1_killearthdemons_1_desc,殺死10個地元魔,,,,,,,,,,,,,,,
adventure_achievement_2_1_killearthdemons_2,石匠,,,,,,,,,,,,,,,
adventure_achievement_2_1_killearthdemons_2_desc,殺死75個大地惡魔,,,,,,,,,,,,,,,
adventure_achievement_2_1_killflamedemons_1,掐滅,,,,,,,,,,,,,,,
adventure_achievement_2_1_killflamedemons_1_desc,殺死10個火焰惡魔,,,,,,,,,,,,,,,
adventure_achievement_2_1_killflamedemons_2,化為灰燼,,,,,,,,,,,,,,,
adventure_achievement_2_1_killflamedemons_2_desc,殺死75個火焰惡魔,,,,,,,,,,,,,,,
adventure_achievement_2_1_killfrostdemons_1,冷眼相待,,,,,,,,,,,,,,,
adventure_achievement_2_1_killfrostdemons_1_desc,殺死10個冰霜惡魔,,,,,,,,,,,,,,,
adventure_achievement_2_1_killfrostdemons_2,冰櫃短路,,,,,,,,,,,,,,,
adventure_achievement_2_1_killfrostdemons_2_desc,殺死75個冰霜惡魔,,,,,,,,,,,,,,,
adventure_achievement_2_1_killsavvasicestorms_1,很高興冰到你,,,,,,,,,,,,,,,
adventure_achievement_2_1_killsavvasicestorms_1_desc,殺死10個石人族寒冰術士,,,,,,,,,,,,,,,
adventure_achievement_2_1_killsavvasicestorms_2,我要化了！,,,,,,,,,,,,,,,
adventure_achievement_2_1_killsavvasicestorms_2_desc,殺死50個石人族寒冰術士,,,,,,,,,,,,,,,
adventure_achievement_2_1_killsavvaslavaflows_1,很高興燒到你,,,,,,,,,,,,,,,
adventure_achievement_2_1_killsavvaslavaflows_1_desc,殺死10個石人族火焰術士,,,,,,,,,,,,,,,
adventure_achievement_2_1_killsavvaslavaflows_2,你被點著了！,,,,,,,,,,,,,,,
adventure_achievement_2_1_killsavvaslavaflows_2_desc,殺死50個石人族火焰術士,,,,,,,,,,,,,,,
adventure_achievement_2_1_killwinddemons_1,風暴追逐者,,,,,,,,,,,,,,,
adventure_achievement_2_1_killwinddemons_1_desc,殺死10個風元魔,,,,,,,,,,,,,,,
adventure_achievement_2_1_killwinddemons_2,求風得風,,,,,,,,,,,,,,,
adventure_achievement_2_1_killwinddemons_2_desc,殺死75個疾風惡魔,,,,,,,,,,,,,,,
adventure_achievement_2_1_preventdamagearmor,鐵匠的老主顧,,,,,,,,,,,,,,,
adventure_achievement_2_1_preventdamagearmor_desc,使用護甲，護盾類道具減免40點傷害,,,,,,,,,,,,,,,
adventure_achievement_2_1_summonkills,就決定是你了！,,,,,,,,,,,,,,,
adventure_achievement_2_1_summonkills_desc,你的召喚物殺死50個敵人,,,,,,,,,,,,,,,
adventure_achievement_3_1_drawnegativeattackmods,這把我點了,,,,,,,,,,,,,,,
adventure_achievement_3_1_drawnegativeattackmods_desc,抽到50張 -1 攻擊修正卡,,,,,,,,,,,,,,,
adventure_achievement_3_1_killancientartillery_1,軍火庫,,,,,,,,,,,,,,,
adventure_achievement_3_1_killancientartillery_1_desc,摧毀10個古代炮塔,,,,,,,,,,,,,,,
adventure_achievement_3_1_killancientartillery_2,炮灰,,,,,,,,,,,,,,,
adventure_achievement_3_1_killancientartillery_2_desc,摧毀100個古代炮塔,,,,,,,,,,,,,,,
adventure_achievement_3_1_killanything,大殺特殺,,,,,,,,,,,,,,,
adventure_achievement_3_1_killanything_desc,殺死200個任意類型的敵人，尤其是泥漿怪,,,,,,,,,,,,,,,
adventure_achievement_3_1_killcityarchers_1,城市獵人,,,,,,,,,,,,,,,
adventure_achievement_3_1_killcityarchers_1_desc,殺死10個城市弓箭手,,,,,,,,,,,,,,,
adventure_achievement_3_1_killcityarchers_2,員警故事,,,,,,,,,,,,,,,
adventure_achievement_3_1_killcityarchers_2_desc,殺死100個城市弓箭手,,,,,,,,,,,,,,,
adventure_achievement_3_1_killcityguards_1,法外狂徒張三,,,,,,,,,,,,,,,
adventure_achievement_3_1_killcityguards_1_desc,殺死10個城市守衛,,,,,,,,,,,,,,,
adventure_achievement_3_1_killcityguards_2,這個要判幾年？,,,,,,,,,,,,,,,
adventure_achievement_3_1_killcityguards_2_desc,殺死100個城鎮守衛,,,,,,,,,,,,,,,
adventure_achievement_3_1_killharrowerinfesters_1,不入巢穴,,,,,,,,,,,,,,,
adventure_achievement_3_1_killharrowerinfesters_1_desc,殺死10個殺戮幽魂,,,,,,,,,,,,,,,
adventure_achievement_3_1_killharrowerinfesters_2,焉得巢子,,,,,,,,,,,,,,,
adventure_achievement_3_1_killharrowerinfesters_2_desc,殺死50個殺戮幽魂,,,,,,,,,,,,,,,
adventure_achievement_3_1_movexdistance,快跑，隨便朝哪兒跑都行！,,,,,,,,,,,,,,,
adventure_achievement_3_1_movexdistance_desc,執行30次超過4格的移動行動。,,,,,,,,,,,,,,,
adventure_achievement_3_1_takedamagehazardous,地板燙腳,,,,,,,,,,,,,,,
adventure_achievement_3_1_takedamagehazardous_desc,受到20點來自危險地形的傷害,,,,,,,,,,,,,,,
adventure_achievement_4_1_killblackimps_1,就這？,,,,,,,,,,,,,,,
adventure_achievement_4_1_killblackimps_1_desc,殺死20只墮落小妖,,,,,,,,,,,,,,,
adventure_achievement_4_1_killblackimps_2,撕爛你的大嘴！,,,,,,,,,,,,,,,
adventure_achievement_4_1_killblackimps_2_desc,殺死200只墮落小妖,,,,,,,,,,,,,,,
adventure_achievement_4_1_killdeepterrors_1,深淵浮現,,,,,,,,,,,,,,,
adventure_achievement_4_1_killdeepterrors_1_desc,殺死10個深淵恐懼,,,,,,,,,,,,,,,
adventure_achievement_4_1_killdeepterrors_2,直墜深淵,,,,,,,,,,,,,,,
adventure_achievement_4_1_killdeepterrors_2_desc,殺死100個深淵恐懼,,,,,,,,,,,,,,,
adventure_achievement_4_1_killelitevermlings,你這只骯髒的老鼠！,,,,,,,,,,,,,,,
adventure_achievement_4_1_killelitevermlings_desc,殺死20個鼠人族精英,,,,,,,,,,,,,,,
adventure_achievement_4_1_killlurkers_1,武裝危險分子,,,,,,,,,,,,,,,
adventure_achievement_4_1_killlurkers_1_desc,殺死10個潛伏者,,,,,,,,,,,,,,,
adventure_achievement_4_1_killlurkers_2,牙爪並施,,,,,,,,,,,,,,,
adventure_achievement_4_1_killlurkers_2_desc,殺死75個潛伏者,,,,,,,,,,,,,,,
adventure_achievement_4_1_killoozes_1,一不留神泥滿身,,,,,,,,,,,,,,,
adventure_achievement_4_1_killoozes_1_desc,殺死10個泥漿怪,,,,,,,,,,,,,,,
adventure_achievement_4_1_killoozes_2,泥塘打滾,,,,,,,,,,,,,,,
adventure_achievement_4_1_killoozes_2_desc,殺死100個泥漿怪,,,,,,,,,,,,,,,
adventure_achievement_4_1_muddledattacks,麻了，全麻了！,,,,,,,,,,,,,,,
adventure_achievement_4_1_muddledattacks_desc,在混亂狀態下攻擊30次,,,,,,,,,,,,,,,
adventure_achievement_beasttyrant_1,站起來，獸王！,,,,,,,,,,,,,,,
adventure_achievement_beasttyrant_1_desc,獸王使用20次交換位置的技能。,,,,,,,,,,,,,,,
adventure_achievement_beasttyrant_2,動物語專家,,,,,,,,,,,,,,,
adventure_achievement_beasttyrant_2_desc,獸王使用30次召喚技能。,,,,,,,,,,,,,,,
adventure_achievement_beasttyrant_3,尖牙利爪,,,,,,,,,,,,,,,
adventure_achievement_beasttyrant_3_desc,獸王的戰熊夥伴造成100點傷害,,,,,,,,,,,,,,,
adventure_achievement_berserker_1,區區小傷，不足掛齒,,,,,,,,,,,,,,,
adventure_achievement_berserker_1_desc,狂戰士對她自己造成100點傷害,,,,,,,,,,,,,,,
adventure_achievement_berserker_2,重斧出擊,,,,,,,,,,,,,,,
adventure_achievement_berserker_2_desc,狂戰士使出20次造成6點以上傷害的攻擊,,,,,,,,,,,,,,,
adventure_achievement_berserker_3,有藥嗎？食物也成,,,,,,,,,,,,,,,
adventure_achievement_berserker_3_desc,狂戰士被治療200點生命值,,,,,,,,,,,,,,,
adventure_achievement_brute_1,貫石斧,,,,,,,,,,,,,,,
adventure_achievement_brute_1_desc,蠻徒用近戰攻擊殺死50個敵人,,,,,,,,,,,,,,,
adventure_achievement_brute_2,我絕不會倒下,,,,,,,,,,,,,,,
adventure_achievement_brute_2_desc,蠻徒通過護盾格擋50點傷害,,,,,,,,,,,,,,,
adventure_achievement_brute_3,不屈,,,,,,,,,,,,,,,
adventure_achievement_brute_3_desc,蠻徒對自己使用30次治療技能,,,,,,,,,,,,,,,
adventure_achievement_cragheart_1,土元素使,,,,,,,,,,,,,,,
adventure_achievement_cragheart_1_desc,裂心石人消耗40次土元素,,,,,,,,,,,,,,,
adventure_achievement_cragheart_2,投石巨星,,,,,,,,,,,,,,,
adventure_achievement_cragheart_2_desc,裂心石人使用20次建立障礙物或陷阱的技能,,,,,,,,,,,,,,,
adventure_achievement_cragheart_3,打砸搶,,,,,,,,,,,,,,,
adventure_achievement_cragheart_3_desc,裂心石人對敵人造成40點非戰鬥傷害,,,,,,,,,,,,,,,
adventure_achievement_doomstalker_1,竊魂者,,,,,,,,,,,,,,,
adventure_achievement_doomstalker_1_desc,末日行者秒殺10次滿血的敵人。,,,,,,,,,,,,,,,
adventure_achievement_doomstalker_2,死亡之森,,,,,,,,,,,,,,,
adventure_achievement_doomstalker_2_desc,末日行者為30個敵人帶來末日,,,,,,,,,,,,,,,
adventure_achievement_doomstalker_3,死亡陷阱地牢,,,,,,,,,,,,,,,
adventure_achievement_doomstalker_3_desc,末日行者設置20個陷阱,,,,,,,,,,,,,,,
adventure_achievement_elementalist_1,元素週期表,,,,,,,,,,,,,,,
adventure_achievement_elementalist_1_desc,元素大師消耗100個元素,,,,,,,,,,,,,,,
adventure_achievement_elementalist_2,天生靈力,,,,,,,,,,,,,,,
adventure_achievement_elementalist_2_desc,元素大師使用技能造成30次負面狀態,,,,,,,,,,,,,,,
adventure_achievement_elementalist_3,我就想看著這個世界燃燒,,,,,,,,,,,,,,,
adventure_achievement_elementalist_3_desc,元素大師使用30次區域攻擊,,,,,,,,,,,,,,,
adventure_achievement_mindthief_1,偷偷摸摸,,,,,,,,,,,,,,,
adventure_achievement_mindthief_1_desc,亂心賊使用30次造成負面狀態的技能,,,,,,,,,,,,,,,
adventure_achievement_mindthief_2,老鼠，老鼠，更多的老鼠,,,,,,,,,,,,,,,
adventure_achievement_mindthief_2_desc,亂心賊使用30次召喚技能,,,,,,,,,,,,,,,
adventure_achievement_mindthief_3,唯心主義,,,,,,,,,,,,,,,
adventure_achievement_mindthief_3_desc,亂心賊使用30次操控技能,,,,,,,,,,,,,,,
